term	hits	files	proposing_entries	inherited_lead	disposition
本參話頭	89	50	參話頭、看話		SELECTED_NEXT500
且道畢竟如何	89	44	且道		SELECTED_NEXT500
分別心	88	36	分別	"且道不分別不思量時是箇甚麼). One passage says, 'because of second-thought distinguishing there are marks; apart from distinguishing there really are no marks' (以第二念分別故有相；若離分別，實無有相). Another says, 'when the distinguishing mind arises, one sees objects existing—this is called ignorance' (分別心起，見有境界，名為無明). A positive use also occurs: the Platform Record preserves the line, 'well able to distinguish the marks of all things, yet unmoved from the first principle' (能善分別諸法相，於第一義而不動). Attested collocations include 'the distinguishing mind' (分別心, 88 occurrences), 'without distinguishing' (無分別, 436), 'arouse or not arouse distinguishing' (起／不起分別), 'thinking and distinguishing' (思量分別), and 'deluded-thought distinguishing' (妄想分別). The entry records these uses without replacing 'distinguish' with an abstract theory. | The Chan-record deployment is predominantly ""the distinguishing to be dropped"" (不起／莫／離分別, ""do not arouse / do not / apart from distinguishing,"" paired with ""thinking"" (思量) and ""deluded thought"" (妄想)), while the Platform Sutra preserves a positive ""well able to distinguish the marks of all things"" (善分別諸法相). The Records of the Source-Mirror (宗鏡錄) witness by Yongming Yanshou (永明延壽) comes from expository prose and supplies the explicit equation that the arising of the distinguishing mind (分別心) is called ignorance (無明). Compare ""thinking"" (思量), ""deluded thought"" (妄想), and ""the distinguishing mind"" (分別心)."	UNREVIEWED_INVESTIGATION
一句合頭語	87	71	一句	Allowlist count: 15,708 occurrences in 419 texts. Family checks covered “first phrase” (第一句), “second phrase” (第二句), “third phrase” (第三句), “final phrase” (末後一句) and its shorter form (末後句), “upward phrase” (向上一句), “out-of-pattern phrase” (出格一句), the diminutive “one phrase” (一句子), “one conforming phrase” (一句合頭語), “under one phrase” (一句下), “a thousand and ten thousand phrases” (千句萬句), and the general “phrase” entry (句). Item-8 review found position and qualification families, not different objects: verse line, spoken phrase, quoted saying, and section-qualified phrase remain countable utterance units in the harvested passages. Twelve exact-headword witnesses replace the former thin set; two former KWICs that contained only the shorter “final phrase” form (末後句), rather than the exact headword “one phrase” (一句), were removed. No occurrence is retained merely to support an interpretive meaning for an unspecified phrase.	UNREVIEWED_INVESTIGATION
露柱懷胎	87	67	露柱	""" with ""ask the exposed pillar"" (問取露柱); when the questioner cannot understand, Shitou says he understands even less. Asked to whom his teaching will be entrusted after his death, one master answers, ""exposed pillar, fire stove"" and reverses the pair after the follow-up. The pillar is also made an impossible animate figure: ""like an exposed pillar bearing a child"" (如露柱懷胎), a phrase found 87 times in 67 texts. Another verse says oxhide is stretched over the pillar, the pillar cries out, ordinary ears do not hear it, and the sages laugh. The Zen deviation is therefore concrete and institutional: a fixed hall support becomes a named interlocutor, recipient, speaker, and pregnant figure in encounters, commonly partnered with lantern or stove. These are the corpus's recorded actions; the entry adds no symbolic meaning."	SELECTED_NEXT100
諂曲	87	49	直心	The English follows the graph meaning 'straight' (直) and the texts' own oppositions: straight versus crooked (直／曲), genuine versus false (真實／虛假), and straight conduct versus flattering crookedness (諂曲). The direct definition 'without bends or twists' occurs once, while the site-of-the-Way formula occurs across multiple independent records. No master-specific sense is warranted.	UNREVIEWED_INVESTIGATION
同死同生	87	48	把手共行		UNREVIEWED_INVESTIGATION
棒下無生忍	86	67	棒		SELECTED_NEXT500
活水	86	64	死水	"Literally ""dead water"" (死水), attested 535 times in 180 allowlisted texts. The dominant fixed saying is ""dead water does not conceal a dragon"" (死水不藏龍, 80 occurrences). In Liangshan Yuanguan's exchange, that answer is immediately contrasted with ""a dragon in living water"" (活水龍), described as ""raising swells without making waves"" (興波不作浪). Yuanwu's Blue Cliff Record comment likewise contrasts using a place of living water with making one's livelihood in dead water (不向活水處用，自去死水裏作活計). Ying'an's recorded informal address places ""dead water"" in a text-drawn list with ""a sweat-shirt stuck to the flesh,"" ""a deep pit of release,"" ""ink,"" and ""clarity"" (貼肉汗衫、解脫深坑、死水、墨汁、明白). Xueyan Zuqin explicitly calls one described condition ""dead water soaking a stone, with never any share of waking or movement"" (死水浸石頭，永無醒動底分子). Thus the corpus uses the phrase as a noun, in a proverb, in direct contrast with living water, and in critical appraisals; the entry reports those wordings without supplying an unstated significance. | The graph pair also has an ordinary literal use for water without current. The curated occurrences foreground the recurrent Chan collocations. ""Dead water making a livelihood"" (死水裏作活計) occurs 12 times, ""dead water soaking a stone"" (死水浸石頭) 3 times, and ""living-water dragon"" (活水龍) 26 times."	UNREVIEWED_INVESTIGATION
大體	86	55	大用	""" and receives a blow across the back for each. The corpus coordinates ""great function"" with ""great capacity"" (大機大用, 276 occurrences), and ""great function"" with ""the whole capacity"" (全機大用, 115). It also records the explicit contrast ""you people have obtained only the great body, not great function"" (汝等諸人只得大體不得大用). These are named formulas, questions, pairings, and contrasts in the record; the entry makes no claim about a metaphysical entity behind them. | No distinct referent emerged from 'great function' (大用), 'great function manifests before you' (大用現前), 'great capacity and great function' (大機大用), 'the whole capacity and great function' (全機大用), and the 'great body/great function' (大體/大用) comparison. 'Use' and 'function' are alternate English readings of the same attested thing, not separate senses."	UNREVIEWED_INVESTIGATION
這个	86	18	這箇	Allowlist count: 4,672 hits in 226 texts. Family comparison with 'that one' (那箇), the variant forms of 'this one' (者箇 and 這个), 'what is it?	UNREVIEWED_INVESTIGATION
打破虛空	85	65	虛空	"Literally ""empty"" or ""vacant"" (虛) ""space"" (空): ""empty space,"" also the open sky, attested 5,943 times in 279 allowlisted texts. Chan records use it as a location, comparison, and grammatical object. Productive forms include ""in empty space"" (虛空中, 90 occurrences), ""inside empty space"" (虛空裏, 136), and ""like empty space"" (如虛空, 364). They also record impossible or emphatic actions: ""empty space shattered"" (虛空粉碎, 167), ""break empty space"" (打破虛空, 85), and ""empty space burst apart"" (虛空迸裂). Zhongfeng says of an incense offering, ""empty space cannot contain it; the great earth cannot support it"" (虛空包不住，大地載不起). Zhe'an Fan says that if one understands at a stated point, ""empty space can be measured"" (虛空可量). A memorial narrative describes one who raised his head and suddenly forgot confusion and awakening, ""lucid like empty space, impossible to approach or lodge in"" (如虛空玲瓏不可湊泊). The corpus also says ""empty space has no inside or outside"" (虛空無內外, 9), while a formal address says that the Chan lineage's defining feature ""fills empty space, with nowhere to evade it"" (充塞虛空，無處回避). These are literal comparisons and recorded predicates; no single further sense is imposed on all 5,943 occurrences."	UNREVIEWED_INVESTIGATION
偏中至	85	33	兼中到、兼中至、正中來	"作五位君臣頌云…) — attributed to him; the remaining curated items are the fixed (如何是兼中到) catechism and later Caodong analytical prose, narrated/raised, MasterName null. VARIANT (the 至/到 question): (兼中到) (到 = arrive/reach) is the FIFTH and terminal rank and is stable across the corpus; it is distinguished from the 4th rank (兼中至) (至 = arrive) not by graph-sense — (到) and (至) are near-synonyms — but by the (功位雙泯) (both extinguished) vs (功位雙彰) (both manifest) contrast the texts draw (X72n1441). The real cross-text instability is at the 4th-rank NAME, not the 5th: (兼中至) (207×) is emended to (偏中至) (85×) by (寂音) (Juefan Huihong) (以對正中來), which X72n1437 records and rejects as (大悞後學). So (兼中到) as 5th rank should not be confused with the 4th-rank pair (兼中至)／(偏中至). | 宛然自有冲天志). The corpus preserves TWO names for this fourth rank. (a) (兼中至) (Zen-scoped 207 hits / 64 texts) is used in Dongshan's (頌) and by later masters — (汾陽善昭) (問如何是兼中至師云意氣不從天地得英雄豈藉四時推), (密雲圓悟) (his own 頌: 兼中至，一棒當頭沒迴避), and the stock (如何是兼中至) catechism (88 hits / 46 texts). (b) (偏中至) (85 hits / 33 texts) is the name in (曹山本寂)'s (五位旨訣), which defines it by the (中孚) hexagram: (偏中至者中孚也)。 | 虛通自在). The corpus itself records the two names as contested: (覺浪道盛), in his (洞宗標正), writes ""'(正來)' and '(偏至)' have been litigated to this day"" (正來偏至，聚訟至今) and (乃知偏中至不可以兼中至而重犯兼中到也). The variance runs inside a single master's record: at the identical prose slot (曹山本寂)'s (本寂) edition (T47n1987B) reads (塵中未帶名)。"	UNREVIEWED_INVESTIGATION
斷命根	84	62	命根		UNREVIEWED_INVESTIGATION
黃河九曲	84	48	萬法歸一	' (萬法歸一一歸何處). The Zhaozhou case records the answer, 'When I was in Qingzhou I made a cloth shirt weighing seven catties' (我在青州作一領布衫重七斤). The corpus also records other answers under other masters: Wenshu Yingzhen answers, 'The Yellow River has nine bends' (黃河九曲); Luohan Guichen answers, 'There has not been a single person who did not ask' (未有一箇人不問); and later dialogues divide the stock question into 'What is the myriad things returning to one?	UNREVIEWED_INVESTIGATION
授戒	84	46	受戒		UNREVIEWED_INVESTIGATION
法外無心	83	60	心外無法	"Literally, ""outside mind, no thing stands."" The phrase occurs 199 times in 100 allowlisted texts. Here the graph translated as ""thing"" or ""what is established"" (法) is contextual: in the recurring pair ""this thing is mind; outside mind no thing stands; this mind is the thing; outside it no mind stands"" (此法即心，心外無法；此心即法，法外無心), it names what could be set up as a thing apart, not an untranslated religious loanword. Shao's frequently quoted verse places the phrase beside visible landscape: ""the summit of Tongxuan is not the human world; outside mind no thing stands; blue mountains fill the eyes"" (通玄峰頂，不是人間；心外無法，滿目青山). A later master quotes that verse and says it has been ""broken into two pieces"" (打成兩橛). Another hall address strikes the Chan seat and asks: ""mind has not arisen—where could the things be established?"	UNREVIEWED_INVESTIGATION
續燈錄	83	13	燈錄		SELECTED_NEXT500
更進一步	81	60	百尺竿頭	更進一步, 'Quan said: step further', T47n1996), whereupon the same monk asks Waguan, who answers with a counter-question — (百尺竿頭用進作什麼)。 | ', 72 / 51 exact; 88 / 58 allowing one intervening punctuation mark), (竿頭進步) ('stepping forward from the pole-top', 113 / 81), (更進一步) ('step further', 81 / 60), (十方世界是全身) ('the ten directions are the whole body', 15 / 15), (百尺竿頭坐底人) ('the person sitting atop the hundred-foot pole', 29 / 26), (百尺竿頭不動人) ('the person unmoving atop the hundred-foot pole', 8 / 8).	UNREVIEWED_INVESTIGATION
把住放行	81	58	殺人刀、活人劍		SELECTED_NEXT500
倒卻門前剎竿	81	55	阿難		SELECTED_NEXT500
命根斷	81	55	絕後再甦	Literally, ‘after being completely cut off, revive again.’ The phrase occurs 222 times in 119 allowlisted texts. Its dominant fixed formula is ‘let go at the cliff and personally assent and undertake it; revive after being cut off, and you cannot deceive anyone’ (懸崖撒手，自肯承當；絕後再甦，欺君不得). Records also place it after ‘the life-root is severed’ (命根斷), beside ‘shed skin and exchange bones’ (去皮換骨), and compare it with a cold ember flaming and a withered tree flourishing again. One master explicitly departs from the inherited formula: ‘the former sages all wanted to revive after being cut off; I am not like that.’ The entry reports this recurrent sequence and its criticism without deciding what state the phrase denotes. | Zen bends an ordinary death-and-revival image into a stock saying repeatedly quoted in teaching-seat discourse and biographies. It belongs with ‘let go at the cliff’ (懸崖撒手), ‘the life-root is severed’ (命根斷), and ‘gain life within death’ (死中得活), but remains one figurative referent rather than separate literal and technical objects.	UNREVIEWED_INVESTIGATION
邪解	81	41	野狐禪		UNREVIEWED_INVESTIGATION
普燈錄	81	4	燈錄		UNREVIEWED_INVESTIGATION
鐵蒺藜	80	52	無孔鐵鎚		UNREVIEWED_INVESTIGATION
果位	80	40	五位		UNREVIEWED_INVESTIGATION
眉毛在麼	79	58	眉毛墮落	""" (眉毛在麼, 79), and ""the eyebrows become tangled together"" (眉毛廝結, 129). Chan records use the loss of eyebrows as a stated consequence or accusation attached to handling Buddhist or Chan speech: one comment says that making a Buddhist teaching-discussion of a line ""implicates Shimen, whose eyebrows fall out"" (若作佛法商量，累他石門眉毛墮落); another points to ""the place where Cuiyan's eyebrows fall out"" while reviewing the Cuiyan exchange. A question joins the phrase to Danxia's burning of the wooden Buddha and asks why the monastery director's eyebrows fall out. The exact phrase is late and sparse, but its eyebrow-loss family is widely transmitted; the texts do not provide an anatomical explanation, and this entry adds none."	UNREVIEWED_INVESTIGATION
單傳心印	79	34	單傳	""" (各各本來具足謂單傳，傳箇甚麼). Frequent compounds are ""single transmission and direct pointing"" (單傳直指), ""single transmission of the mind-seal"" (單傳心印), and ""single transmission outside the teachings"" (教外單傳). | The records place the term in lineage slogans, questions, and verse. One lamp record pairs, ""Bodhidharma came from the west, singly transmitting the mind-seal; the Sixth Patriarch of Caoxi did not know one written character"" (達磨西來，單傳心印，曹溪六祖，不識一字). A later lineage statement says the flower-holding smile was entrusted as ""single transmission outside the teachings"" (教外單傳). The four direct-question occurrences and twelve ""termed single transmission"" formulas belong to this shared lineage wording, not master-specific senses."	UNREVIEWED_INVESTIGATION
道不屬知	77	66	平常心是道	(擬向即乖) (無門關; the form 還可趣向也無 is also attested, 15 allowlist hits) — and (道不屬知)。 | (盡謂著衣喫飯動靜語默一一天真). (平常心是道) is the full slogan; the shorter (平常心) is a separate, nested entry. The texts give the phrase the (謂)…(無造作)、(無是非)、(無取捨)、(無斷常)、(無凡無聖) gloss and the (道不屬知)、(不屬不知) continuation, and no gloss beyond these; neither does this entry.	UNREVIEWED_INVESTIGATION
賓主交參	77	50	壁立千仞	Literally, a wall stands upright for a thousand fathoms. The corpus uses the whole clause as a predicate or appraisal of a statement, a person, a house style, or a position in an encounter. Nanyuan opens an address with “on the red flesh-lump, a thousand-fathom wall stands” (赤肉團上壁立千仞); a monk repeats the line back, overturns the Chan seat after Nanyuan confirms it, and is struck when he hesitates. A Dongshan record places “sometimes mingling with mud and mixing with water” beside “sometimes standing like a thousand-fathom wall” (有時和泥合水，有時壁立千仞), then says Dongshan is found in neither location. Yuanwu likewise sets “standing like a thousand-fathom wall” against “dragging through mud and water, ash-covered head and dirt-covered face,” and elsewhere writes that in the ash-covered, dirt-covered place one stands like a thousand-fathom wall, while in the thousand-fathom-wall place one is dirt-covered and ash-covered. A commentary classifies three turning phrases as respectively “standing like a thousand-fathom wall,” “sailing a boat on dry land,” and “host and guest interchanging” (一句壁立千仞，一句陸地行船，一句賓主交參). Langya appraises Nanyuan's line with the single word “dangerous” (險). The exact four-character phrase occurs 434 times in 113 allowlisted files.	UNREVIEWED_INVESTIGATION
趙州無字	77	35	參話頭		UNREVIEWED_INVESTIGATION
序文	76	66	序		UNREVIEWED_INVESTIGATION
年年是好年	76	58	日日是好日		UNREVIEWED_INVESTIGATION
金牛飯	76	56	金牛		UNREVIEWED_INVESTIGATION
雲門三句	76	44	函蓋乾坤、截斷眾流、東山水上行	"The components mean “box or case” (函), “lid or cover” (蓋), and “heaven and earth,” literally qian and kun, the first two trigrams of the Book of Changes (乾坤): ""a lid fitting the box, heaven and earth."" The corpus attests (函蓋) as a box and its lid that correspond — the collocation (函蓋相稱) / (函蓋相應) recurs (e.g. B25n0144 著函，函蓋相稱故, ""[the lid] on the box, because box and lid correspond""), and (乾坤) is the standard pairing for the whole cosmos. The phrase is the FIRST of the (雲門三句) (Yunmen's three phrases), paired with (截斷眾流) and (隨波逐浪). Its attested history in the corpus: Yunmen (雲門文偃) delivers it in his own (廣錄) as a (示眾) — (函蓋乾坤目機銖兩)。 | The three-phrase set (雲門三句) = (函蓋乾坤) · (截斷眾流) · (隨波逐浪). Structural facts (describe-only): (1) the phrase originates in Yunmen's own (示眾) as one line of the triad (函蓋乾坤)、(目機銖兩)、(不涉萬緣) (春緣 in T47n1988); the numbered (三句) framing and the phrase-name (函蓋乾坤句) are the systematization of his heir (德山緣密), recorded in (人天眼目) and the lamp/(語錄) texts. (2) ORTHOGRAPHIC VARIANT: the water-radical form (涵蓋乾坤) occurs once in the allowlist (J40nB472), there in a different phrase (有時芥子藏身，有時涵蓋乾坤), not the (雲門三句) context. Do not cross-attribute the retold cases: Yunmen's own (示眾) (T47n1988) vs. the compiler-systematized exposition (人天眼目) vs. later (上堂) that merely raise the three (五燈會元 昔日雲門有三句). | As a fixed technical term, (截斷眾流句) (139 hits / 69 files) is the middle of the (雲門三句) (Yunmen's three phrases; the set-name itself 76 hits / 44 files): (函蓋乾坤句) (covering heaven and earth) · (截斷眾流句) (cutting off the myriad streams) · (隨波逐浪句) (following the waves). (人天眼目) gives the corpus's own account of the set's origin — (師示眾云)。"	SELECTED_NEXT500
見跡	76	43	十牛	"Literally, ""ten oxen."" As a Chan title and label, it denotes Liangshan Kuoan's ordered set of ox-herding verses and the pictures made from them. A collection titles the work ""Liangshan Kuoan Ze's Ten-Ox Verses"" (梁山廓庵則和尚十牛頌); another record says, ""our school has the account of herding the ox, and Liangshan has the verses on the Ten Oxen"" (我宗門有牧牛之說，梁山有十牛之頌). The sequence begins with named sections including ""seeking the ox"" (尋牛) and ""seeing the tracks"" (見跡). The corpus also records direct criticism of its later handling: Baichi calls Liangshan's verses ""compassionate, talk that descends into the weeds"" (慈悲之故，落草之談), says later people ""made a wrong move and then painted these Ten-Ox forms"" (錯下手腳，更畫此十牛樣子), and urges burning them. In an encounter, a teacher interrupts a monk asked to recite the verses and asks, ""Where is the ox?"	UNREVIEWED_INVESTIGATION
空劫以前	76	36	那畔		UNREVIEWED_INVESTIGATION
如何是無寒暑處	75	56	韓獹逐塊		SELECTED_NEXT500
灰頭土面	75	50	壁立千仞		UNREVIEWED_INVESTIGATION
次序	74	64	序	In running prose, sequence or order (序) names an ordered progression. The Jingde-era lamp record says that beginning students did not know the sequence (初心後學未知次序). Konggu Daocheng's record says that matters for someone newly entering have an order (初進工夫，一一皆有次序) and names taking refuge and requesting instruction first (皈依請益為先). These witnesses state order directly; they do not turn the graph into a technical Chan category. | This sense is represented through the transparent compound 'sequence/order' (次序). It is kept separate from the bibliographic preface and the institutional rank/division senses.	UNREVIEWED_INVESTIGATION
具足戒	74	52	具足	To be complete, fully endowed, or lacking nothing. The headword occurs 2,264 times in 303 allowlisted texts. Xuansha says, “each person is fully endowed; each person is manifest” (人人具足，人人成現). Another address ranges across monastics and laypeople, women and men, wise and foolish, noble and low, saying all are fully endowed “without the least lacking” (悉皆具足，曾無欠少). Hongzhi pairs “fully endowed from the beginning” (本來具足) with “not a hair's breadth lacking, not a hair's breadth in excess.” A later text warns that merely accepting “fully endowed from the beginning, no need to seek outside” can become empty talk. In the ordination compound “full precepts” (具足戒), the same completeness word modifies the precepts: biographies record receiving or being given the full precepts. Predicate and attributive placement express the same completeness, not different lexical referents. | The former predicate/adjective targets were grammatical uses of the same completeness word and are merged. The Chan deployment includes both lack-nothing formulas and the corpus's criticism of resting on such formulas. The full-precepts compound remains under the precepts gate and should receive longest-match priority when indexed separately. Compare fully endowed from the beginning (本來具足), completely formed (圓成), lack (欠少), full precepts (具足戒), receiving precepts (受戒), and precept (戒).	UNREVIEWED_INVESTIGATION
杜撰禪和	74	52	杜撰	' (長老若不杜撰，如何終日與人說張說李). Dahui uses the word self-deprecatingly when he says, 'I have not read Guo Xiang's explanation or the various commentators' explanations; I only rely on my own fabrication to explain your silence' (我也不曾看郭象解并諸家注解，只據我杜撰說破爾這默然). The stock rebuke 'fabricated elder' (杜撰長老) occurs 68 times in 40 texts, often in the fuller comparison 'fabricated elders are like hemp and millet'—that is, extremely numerous (杜撰長老如麻似粟). 'Fabricated Chan fellow' (杜撰禪和) likewise appears as a verdict on a respondent, while 'fabricated conjectural talk' (杜撰臆說) names speech. These are grammatical deployments of one shared judgment; the texts do not establish a distinct sense from the proper name Du Mo, whose 18 hits refer to a person or to being silent.	UNREVIEWED_INVESTIGATION
解悟	74	51	徹悟	Literally, “awaken through-and-through.” The term appears 142 times in 71 allowlisted texts, both as a verb in encounter and biographical retrospectives and as a noun-like condition in instruction and contrast. Wuyi Yuanlai supplies the clearest corpus definition: there are two awakenings, “interpretive awakening obtained from written words and speech” and “thorough awakening obtained by investigating on one’s own part”; he adds, “interpretive awakening is like hearing someone describe a thing; thorough awakening is like seeing the thing with one’s own eyes” (解悟者如聞人說物，徹悟者如親眼見物). Other records say not to stop if one has not thoroughly awakened, describe the World-honored One seeing the morning star and thoroughly awakening, and contrast the many who thoroughly awaken with the equally many who misunderstand. Thus the Chan record bends an ordinary intensive verb into a named contrast with “interpretive awakening” (解悟), while also using it in lineage biographies; the direct contrast, not an imported theory of enlightenment, controls the gloss. | Verbal and noun-like grammar denotes the same event/state and does not warrant a split. The related term “interpretive awakening” (解悟) is a text-drawn contrast, not an annotator’s ranking.	UNREVIEWED_INVESTIGATION
我今不是渠	73	42	渠今正是我	渠今正是我，我今不是渠。 | The quotation has one corpus-wide identity despite its origin with Dongshan; later masters preserve, question, and criticize it without establishing a different master-specific referent. The paired line “I am now not him” (我今不是渠) is required context, not a second sense.	SELECTED_NEXT500
相似語	73	38	合頭語		UNREVIEWED_INVESTIGATION
大機之用	72	43	大機大用	' he answers '(百丈得大機)，(黃檗得大用)，(餘者盡是唱導之師)' — the same dialogue recurs in (古尊宿語錄) and elsewhere. It is split further into (大機之用) (72× in 43 files) and (大用之機) (13× in 10): '(如何是大機大用)？ | (如何是大機之用)？	UNREVIEWED_INVESTIGATION
燈燈相續	71	58	傳燈、聯燈		SELECTED_NEXT500
寒山詩	71	38	寒山	Primary figure sense. The expanded name Hanshanzi (寒山子), the pair Hanshan and Shide (寒山拾得), and Hanshan's poems (寒山詩) belong to this family. They are separated from the ordinary landscape phrase below.	UNREVIEWED_INVESTIGATION
十方通暢	70	46	水泄不通		UNREVIEWED_INVESTIGATION
充飢	70	44	畫餅	Literally a cake drawn or painted rather than edible. Chan records make it a stock verdict by completing the image: “a painted cake cannot fill hunger” (畫餅不可充飢／不充飢). In the Xiangyan case, after he cannot answer Guishan's question and searches all the writings he has read for a reply, he sighs, “a painted cake cannot fill hunger” (畫餅不可充饑); the record then has him burn those writings. Dahui's verse pairs it with another ineffective likeness: “how could a shimmering mirage ever stop thirst? | #0g deviation: Chan turns an ordinary painted object into a recurrent verdict applied not only to textual learning but also to Chan-sounding discourse, staff work, and shouting. This entry reports the stated inability to feed; it does not infer a hidden spiritual effect. Headword count: 88 hits in 63 texts. Exact forms: “painted cake cannot fill hunger” (畫餅不可充飢) 8/8; “painted cake does not fill hunger” (畫餅不充飢) 2/2; the deliberately contradictory “fill hunger with a painted cake” (畫餅充飢) 4/4. The variant graph for “hungry” (饑) occurs widely beside the headword's form (飢).	UNREVIEWED_INVESTIGATION
十五日以後	69	41	日日是好日		UNREVIEWED_INVESTIGATION
傳戒	69	31	傳衣		UNREVIEWED_INVESTIGATION
菩提本無樹	68	52	本來無一物	"(本來) from the root / origin, originally + (無) there is no + (一物) one thing: ""from the origin, not one thing."" The line is the third of (慧能)'s verse in the received (宗寶) (六祖大師法寶壇經): (菩提本無樹)，(明鏡亦非臺)；(本來無一物)，(何處惹塵埃) (the text writes his name 惠能). The corpus shows the line is a feature of the LATER Platform-Sutra text: the Dunhuang (壇經) (T48n2007) gives the same verse with the third line ""the buddha-nature is ever pure"" (佛性常清淨，何處有塵埃), without (本來無一物). Across the lamp records the couplet varies — (何處惹塵埃) (法寶壇經); (何處有塵埃) (祖堂集, which carries the verse twice, with first lines 菩提本無樹 and 身非菩提樹); and (本來無一物何假拂塵埃) with first line (菩提本非樹) (傳燈玉英集). Zen-scoped the phrase occurs 214 hits / 106 texts; the contracted (本無一物) 34 / 30. Attested deployment beyond the verse: (洞山良价) issues a verdict on the line — asked why (神秀)'s (時時勤拂拭) verse did not win the robe, (洞山答曰)：「(直道本來無一物)，(也未得衣缽在)。"	UNREVIEWED_INVESTIGATION
象王回顧	68	51	象王	Zen-allowlist count: 809 hits in 242 texts. Family check covered the elephant king's stride (象王行), backward look or turn (象王回顧／回旋), the lion's roar or vigorous motion (師子吼／奮迅), the fragrant elephant (香象), and Samantabhadra's (普賢) white elephant. The primary Chan image and the Buddhist narrative animal share the same royal-elephant referent, so differing deployments were not split into readings. The narrative white-elephant witness remains listed in SourceTexts but was not curated because it adds outside-story identity rather than defining the Chan bend.	UNREVIEWED_INVESTIGATION
全體作用	68	40	應物現形		UNREVIEWED_INVESTIGATION
十五日以前	68	40	日日是好日		UNREVIEWED_INVESTIGATION
杜撰長老	68	40	杜撰	' (長老若不杜撰，如何終日與人說張說李). Dahui uses the word self-deprecatingly when he says, 'I have not read Guo Xiang's explanation or the various commentators' explanations; I only rely on my own fabrication to explain your silence' (我也不曾看郭象解并諸家注解，只據我杜撰說破爾這默然). The stock rebuke 'fabricated elder' (杜撰長老) occurs 68 times in 40 texts, often in the fuller comparison 'fabricated elders are like hemp and millet'—that is, extremely numerous (杜撰長老如麻似粟). 'Fabricated Chan fellow' (杜撰禪和) likewise appears as a verdict on a respondent, while 'fabricated conjectural talk' (杜撰臆說) names speech. These are grammatical deployments of one shared judgment; the texts do not establish a distinct sense from the proper name Du Mo, whose 18 hits refer to a person or to being silent.	UNREVIEWED_INVESTIGATION
芥子許	67	50	芥子	The graphs name a mustard seed. The allowlisted corpus has 442 hits in 146 texts. Its small size supplies the comparison ‘mustard-seed-sized’ (芥子許, 67 hits in 50 texts), as when a teacher speaks of a doubt as small as a mustard seed. The corpus also repeatedly pairs the seed with Mount Sumeru in both directions: ‘Sumeru contains a mustard seed’ (須彌納芥子, 46 hits in 30 texts) and ‘a mustard seed contains Sumeru’ (芥子納須彌, 59 hits in 44 texts). In the Guizong encounter, Li Bo accepts the first statement but asks whether the second is false; Guizong asks where Li Bo’s ten thousand books are held in a body the size of a coconut. In another exchange, the two directions receive the one-word answers ‘easy’ and ‘difficult.’ A later address records mountains, earth, trees, monastics, laypeople, sages, and ordinary people placed inside a mustard seed without the seed becoming narrow. These are the corpus’s recorded scale constructions; the entry does not turn them into a symbolic meaning for the seed.	UNREVIEWED_INVESTIGATION
任性逍遙	66	45	逍遙	The paired graphs mean to wander or roam at ease. In a lamp narrative, Tianhuang tells Longtan, “roam at ease according to your nature and range freely following conditions; exhaust the ordinary mind, with no other superior understanding” (任性逍遙，隨緣放曠，但盡凡心，無別勝解). An Ancestral Hall narrative describes someone “delighting in clouds and waters, roaming at ease whether going or staying” (樂乎雲水，去住逍遙). Productive forms include “roam at ease and be unbound” (逍遙自在), “range freely and roam at ease” (放曠逍遙), and “roam at ease according to one's nature” (任性逍遙).	UNREVIEWED_INVESTIGATION
無角鐵牛	66	38	鐵牛		UNREVIEWED_INVESTIGATION
出身一路	66	34	出身處	' receives many recorded answers, including Yunmen's 'East Mountain walks on water' (東山水上行). A question about the student's place to emerge receives 'Xuefeng was originally a man from Lingnan' (雪峰元是嶺南人), using the graphs' ordinary sense of geographic origin inside the same question form. The corpus also has 66 occurrences of 'the one route of emergence' (出身一路), 61 of 'have a place to emerge' (有出身處), and 13 of 'have no place to emerge' (無出身處).	UNREVIEWED_INVESTIGATION
接機	66	33	接引		UNREVIEWED_INVESTIGATION
坐參	66	31	坐禪		UNREVIEWED_INVESTIGATION
言下頓悟	65	40	言下大悟	Related narrative formulas show the same productive construction: “awakened at the words” (言下契悟), 41 hits in 28 texts; “suddenly awakened at the words” (言下頓悟), 65 in 40; “at the words, suddenly greatly awakened” (言下豁然大悟), 10 in 9; “thoroughly penetrated at the words” (言下大徹), 34 in 31; and “had an insight at the words” (言下有省), 215 in 89. These are related formulas, not alternate spellings of the four-character headword.	UNREVIEWED_INVESTIGATION
無相三昧	65	30	無相	""" and the master answers, ""mountains green, waters verdant"" (如何是無相；山青水綠). Transmission wording places ""true form, markless"" (實相無相, 103) between ""the subtle mind of extinction"" and ""subtle correct teaching."" The corpus further records Mazu asking how to accord with ""markless complete command"" (無相三昧). These definitions, questions, compounds, and quotations keep the phrase tied to marks and their absence; this entry does not turn it into an imported theory."	UNREVIEWED_INVESTIGATION
所參話	65	14	提起	The former concrete/abstract split was a literal-versus-extended reading of the same raising action and is merged. Compare whisk (拂子), sitting cloth (坐具), upright raising (豎起), raised saying (話頭), investigated saying (所參話), and lifting or citing (舉起). No fixed spiritual force is assigned to raising either kind of object.	UNREVIEWED_INVESTIGATION
